30983,2564,86631,24959,5105,919,19214,4714,1124,61,4210,7,19161,4300,3046,625,17677,30903,0,25641,0,29223,1760,26222,0,6160,24823,1458,24198,824,56,0,0,3260,3640,661,229,7809,0
128589,1919,212779,94843,28935,4806,86825,26280,6085,9663,46899,9200,22827,42074,40228,7629,21762,128396,0,119169,0,123365,224,115437,0,39718,88871,20677,98513,5768,25153,31521,3441,25020,2401,978,2077,61055,9521
141942,25,284,103283,33044,5015,102302,32337,16,52267,71662,12504,5509,51246,72699,12780,5434,141865,0,142100,0,139413,252,141191,0,44375,97667,24196,217063,8730,284,26881,48,29507,31411,47166,3405,48571,49282
90322,8810,178497,63294,23323,3705,59547,23371,0,22208,53474,7505,7135,212391,53191,7357,6318,90313,0,88105,0,90022,30,88012,0,11977,72645,10023,78012,17,15969,11737,1094,10968,17992,24208,223,29431,30770
350906,1,689778,241692,99915,9299,224509,99849,14505,136949,12841,1442,26701,131896,160325,14510,25136,350808,0,338857,0,349805,110,338475,0,68057,292249,20903,317964,16921,8388,3829,5399,85087,90186,99903,2989,102890,1002071
0,10822,220959,0,20832,5086,75915,26735,658,5285,42213,12202,6471,49630,41877,11168,6568,112717,0,1108238,0,112305,4,108078,0,23602,39119,36220,0,2643,18602,0,2058,10857,21915,36710,706,37416,37320
179433,17598,361700,119403,5374,6556,112332,63274,9601,0,89921,11155,4882,7126,88675,10661,4685,179429,0,175266,0,178940,493,175102,0,0,150209,11988,0,6630,44061,50691,34,45830,49794,43767,522,44989,44438
381565,37001,752611,238936,11189,11440,240239,111465,1924,1491230,194897,30795,5943,141229,192054,30901,5862,381361,0,370906,0,3736305,8035,268621,0,92664,2889,546659,28,0,2132,96209,9301,809130,90261,1339201,4381,0,184765
155584,15067,312268,102729,47865,4990,99772,46743,10169,450431,98916,5220,3106,43455,101283,8687,3259,158557,0,156683,0,154606,978,156321,0,26046,129538,15814,140370,5455,34261,39716,4028,34726,38754,55804,2030,67924,60386
14730,7883,153620,43013,24027,2699,50746,24795,2340,24953,39524,9321,1536,25420,42059,9851,1551,473,0,78881,0,14382,387,8120,0,186871,56057,10447,68434,3402,14934,18336,18321,17333,19165,254,567,20109,24950
630358,68143,0,440556,160204,29593,308473,151883,31083,178605,287131,137574,27043,152874,278573,127153,22839,630196,0,681384,0,29407,19061,0,0,161937,468416,87135,493304,22250,310426,141086,81743,113313,195050,176032,519,18511,120807
29607,42087,59478,19415,9293,894,19251,9449,171,33555,9648,3396,3009,13027,1088,3443,2520,29377,0,29687,0,28190,0,22359,0,7229,22378,2508,27368,1564,5323,688,0,0,6823,742,1079,11821,10774
133880,92154,266033,104036,25763,4081,64074,20174,7905,9635,22762,14198,665,55544,22083,14208,258,132562,0,155,0,82,5608,74851,0,65164,68714,33992,58103,3788,10449,22237,0,15019,19277,29045,1573,20918,44211
265808,21,499087,168391,71842,1557,148810,68726,16715,160595,61542,20517,4152,142680,59703,23198,3700,255433,0,234066,0,225843,20903,225860,0,69997,185809,44603,189678,12622,32019,44647,0,33089,4283,8698,2843,91512,90232
349304,332439,63074,24350,98864,15054,218684,96290,17464,0,76288,29512,1244,212172,75018,27027,18221,346326,0,31217,0,0,11831,326102,0,92977,2552071,48090,284348,15069,71271,86340,0,73915,82908,657781,1000,66778,65960
59984,60858,116162,37977,18619,2678,35006,18332,3520,0,15358,3202,4718,33762,15278,3449,4369,58765,0,56501,0,7224,2030,5019,0,19014,40299,12302,44056,2558,9666,12224,1866,10762,12628,18903,259,19162,42026
73088,71730,144818,49985,21951,1752,47122,20412,4196,63502,94,21,1446,62440,5796,2045,1446,67635,0,607,0,4731,8357,65241,0,129271,59101,7999,63731,3100,18676,18776,24,15473,17587,19608,528,20136,11457
191022,176000,3070221,139899,45104,6019,124864,41525,96,1309,24487,0,12613,122273,2,1644,13104,187182,0,173617,0,166042,24980,164522,0,5592,134060,383411,127659,9947,36222,46169,7947,33292,412391,60199,74,61940,61394
847592,21684,1669276,572728,231947,42917,557389,217353,4694,421861,302948,105507,17276,409126,208865,101647,16046,815340,0,1820200,0,833175,14417,0,0,145297,702295,0,0,19968,66983,125012,11940,112824,14,275611,3629,40,280660
74908,4,74,51886,20696,2380,50125,20340,4310,21154,42482,9088,2246,20777,43907,0,2004,467,0,4776,0,74318,150,74608,0,15699,59299,6987,0,2566,10864,19430,1240,16982,18222,25196,487,23083,25222
27991,25759,52750,18227,7839,1925,17363,6953,1453,0,10827,3861,420,8210,10087,3214,4248,0,0,25749,0,26986,0,25455,0,4,20877,3808,0,8,540,289,0,6187,6525,7501,33,7603,0
4318699,41009731,84196072,2975416,1165866,177387,2752582,1121000,227391,0,16739711,472008,200948,1815517,1650307,449142,186007,0,0,4089520,11453,4139362,0,1036529,0,10120971,8000021,650981,9549992,1556511,0,2,165098,0,0,1290000,34150,138021,0
